,시가,고가,저가,현재가,거래량
672,2480000,2501000,2465000,2492000,224496
673,2525000,2538000,2497000,2500000,216212
674,2535000,2550000,2531000,2543000,141995
675,2543000,2558000,2526000,2554000,168981
676,2538000,2566000,2528000,2560000,167352
677,2531000,2541000,2500000,2537000,223150
678,2521000,2544000,2518000,2542000,141689
679,2545000,2551000,2526000,2532000,179522
680,2550000,2554000,2521000,2524000,164780
681,2504000,2547000,2502000,2528000,320683
682,2450000,2500000,2442000,2494000,189723
683,2432000,2450000,2414000,2450000,194356
684,2425000,2445000,2416000,2433000,215855
685,2387000,2406000,2381000,2393000,162638
686,2400000,2405000,2386000,2403000,218461
687,2341000,2384000,2339000,2379000,212805
688,2358000,2370000,2345000,2350000,159220
689,2375000,2389000,2356000,2361000,136111
690,2375000,2381000,2355000,2377000,237551
691,2402000,2416000,2397000,2397000,166131
692,2380000,2400000,2378000,2385000,191450
693,2411000,2420000,2395000,2415000,192335
694,2376000,2418000,2376000,2414000,171056
695,2380000,2389000,2371000,2381000,190302
696,2398000,2404000,2386000,2398000,229116
697,2387000,2406000,2374000,2374000,199473
698,2362000,2407000,2361000,2407000,300900
699,2279000,2328000,2278000,2328000,226078
700,2275000,2297000,2273000,2279000,348069
701,2284000,2296000,2259000,2284000,193140
702,2290000,2303000,2262000,2268000,203334
703,2257000,2281000,2257000,2270000,172498
704,2271000,2280000,2257000,2269000,219086
705,2284000,2322000,2280000,2305000,234657
706,2250000,2279000,2250000,2258000,279575
707,2325000,2325000,2262000,2265000,274588
708,2302000,2318000,2286000,2297000,151988
709,2253000,2298000,2250000,2298000,249775
710,2243000,2245000,2220000,2234000,195070
711,2229000,2251000,2220000,2235000,373382
712,2276000,2283000,2224000,2232000,248672
713,2311000,2320000,2269000,2281000,174791
714,2280000,2323000,2277000,2304000,272273
715,2258000,2284000,2240000,2284000,260896
716,2243000,2265000,2240000,2244000,173508
717,2270000,2279000,2245000,2246000,252141
718,2252000,2269000,2238000,2255000,352871
719,2282000,2289000,2236000,2236000,315247
720,2287000,2300000,2277000,2297000,223207
721,2306000,2332000,2305000,2317000,148489
722,2333000,2340000,2305000,2319000,176075
723,2281000,2314000,2281000,2305000,160028
724,2288000,2308000,2283000,2291000,188458
725,2271000,2309000,2261000,2275000,425557
726,2308000,2361000,2280000,2280000,468219
727,2276000,2351000,2267000,2351000,391651
728,2285000,2285000,2243000,2276000,273802
729,2275000,2275000,2238000,2245000,281366
730,2289000,2290000,2226000,2231000,453714
731,2135000,2226000,2098000,2192000,460645
732,2135000,2140000,2126000,2140000,295896
733,2073000,2137000,2066000,2135000,385992
734,2063000,2063000,2046000,2062000,179803
735,2024000,2070000,2024000,2038000,302610
736,2029000,2040000,2004000,2014000,422977
737,2065000,2071000,2045000,2045000,235258
738,2084000,2091000,2064000,2075000,137213
739,2100000,2104000,2076000,2078000,104495
740,2108000,2113000,2088000,2101000,109257
741,2083000,2123000,2083000,2121000,180816
742,2093000,2097000,2085000,2095000,165498
743,2097000,2097000,2079000,2080000,143458
744,2097000,2097000,2075000,2097000,142827
745,2090000,2091000,2058000,2080000,200420
746,2100000,2104000,2080000,2092000,193668
747,2095000,2112000,2085000,2107000,213994
748,2080000,2109000,2076000,2104000,245110
749,2070000,2086000,2065000,2072000,191588
750,2091000,2101000,2060000,2060000,210006
751,2094000,2122000,2094000,2099000,164080
752,2087000,2098000,2079000,2089000,201865
753,2078000,2092000,2069000,2074000,164325
754,2060000,2094000,2059000,2060000,243553
755,2080000,2099000,2054000,2075000,256163
756,2110000,2118000,2085000,2090000,307942
757,2080000,2123000,2079000,2123000,328545
758,2089000,2134000,2088000,2128000,284403
759,2100000,2106000,2087000,2095000,205001
760,2090000,2125000,2086000,2120000,252046
761,2090000,2109000,2077000,2092000,198663
762,2040000,2072000,2040000,2070000,191757
763,2031000,2077000,2025000,2068000,226501
764,2002000,2049000,2002000,2030000,148482
765,1998000,2021000,1993000,2009000,204556
766,2010000,2015000,2001000,2010000,287445
767,2010000,2031000,2007000,2010000,242819
768,1990000,2016000,1990000,2010000,211065
769,1961000,2011000,1961000,2004000,244697
770,1967000,1986000,1958000,1981000,254174
771,1921000,1993000,1921000,1986000,424996
772,1903000,1938000,1898000,1922000,301774
773,1901000,1907000,1885000,1903000,180674
774,1948000,1955000,1903000,1911000,185937
